customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
1,52,Female,8,57.24508115217376,470.303567387755,Month-to-month,Electronic check,No,No,No,No,No,No,1
2,42,Male,19,69.59236501723043,1176.4336239455033,Month-to-month,Electronic check,No,No,No,No,No,No,0
3,54,Female,39,51.030431612536745,2153.199829376374,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,No,1
4,67,Male,3,22.12427771014488,103.40685986331921,Month-to-month,Electronic check,No,No,Yes,No,Yes,Yes,1
5,41,Male,20,76.34186836885772,1467.9119942976477,One year,Bank transfer,No,Yes,No,Yes,No,Yes,1
6,41,Female,16,84.25557639174642,1222.749050438441,One year,Credit card,DSL,No,No,No,Yes,Yes,0
7,68,Male,3,55.87908532773338,207.22867807900468,One year,Electronic check,Fiber optic,No,No,No,Yes,Yes,1
8,56,Female,23,81.36046371599669,1859.5734649704864,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,Yes,0
9,37,Female,7,55.585385893494376,546.5123798577015,Month-to-month,Bank transfer,DSL,Yes,Yes,No,Yes,Yes,1
10,53,Male,16,47.69897906064131,728.5929369035781,Two year,Mailed check,DSL,No,Yes,No,No,No,0
11,38,Male,2,72.76518801899577,72.76518801899577,Month-to-month,Credit card,DSL,Yes,No,No,No,No,1
12,38,Female,14,45.94229618558116,732.7717684217291,One year,Bank transfer,Fiber optic,No,No,Yes,No,No,0
13,48,Female,8,48.15487409147224,477.767182003461,One year,Mailed check,Fiber optic,No,Yes,No,No,No,1
14,18,Male,41,32.86008856397483,1364.1287678839874,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,Yes,1
15,19,Male,1,95.40178081235962,163.03748557985045,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,Yes,1
16,36,Male,13,69.51771204351738,899.9615444915021,Month-to-month,Electronic check,No,No,No,No,No,No,1
17,29,Male,14,78.04724264560933,1116.0479071394552,Month-to-month,Electronic check,No,No,Yes,No,No,No,1
18,49,Female,30,78.29849061132037,2465.4538065960037,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,Yes,0
19,31,Female,20,43.75757352645503,937.6833039312509,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,No,Yes,1
20,23,Female,26,77.01460987760345,1985.4524129844272,Month-to-month,Bank transfer,DSL,No,Yes,Yes,No,No,1
21,66,Female,36,67.711005422932,2572.8324498181673,One year,Electronic check,DSL,No,No,Yes,Yes,Yes,0
22,41,Male,47,95.30733281325789,4242.959104943969,Two year,Bank transfer,DSL,No,Yes,No,No,Yes,1
23,46,Male,9,61.87297835224152,762.064136312367,Month-to-month,Mailed check,Fiber optic,No,No,No,No,Yes,1
24,23,Female,18,60.36565086143179,915.9858060166986,Two year,Bank transfer,No,No,Yes,Yes,No,No,0
25,36,Female,43,71.44079714717654,3009.2449948513618,Two year,Electronic check,DSL,Yes,No,Yes,Yes,Yes,1
26,46,Female,72,84.34328217005263,6068.624562724282,Two year,Bank transfer,DSL,No,No,No,No,No,0
27,27,Female,52,56.027956583149084,2898.8056752509365,Two year,Credit card,DSL,No,No,No,No,Yes,0
28,50,Female,11,62.79538809840872,791.3903730851514,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,1
29,35,Female,5,25.79368248624198,25.79368248624198,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,No,1
30,40,Female,16,20.0,346.0766817483063,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,0
31,35,Female,32,72.65480740182915,2267.132627036557,One year,Electronic check,DSL,No,No,Yes,No,Yes,1
32,72,Female,16,70.37637236161314,1155.5360557195518,Two year,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,1
33,44,Male,15,57.39746582100937,854.4847613353528,Two year,Credit card,DSL,Yes,No,Yes,Yes,No,0
34,29,Female,43,40.76755714995231,1762.2985227162471,One year,Credit card,Fiber optic,No,No,No,Yes,Yes,0
35,57,Male,10,62.897466507414535,573.9821818277109,Month-to-month,Electronic check,DSL,No,No,No,No,Yes,1
36,26,Male,47,20.0,888.9936049903918,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,0
37,48,Female,12,81.02369332160882,1001.0115712620485,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,Yes,1
38,18,Female,9,35.06076007342482,409.9183912364278,One year,Bank transfer,Fiber optic,No,No,No,No,Yes,0
39,25,Male,14,103.13397615706025,1384.0477327790586,One year,Mailed check,Fiber optic,No,No,No,No,No,1
40,47,Male,34,85.29401228236337,2813.1196631430635,Two year,Electronic check,DSL,Yes,No,Yes,Yes,Yes,1
41,56,Female,3,41.4823222792717,185.7929834049988,One year,Mailed check,DSL,No,Yes,No,No,Yes,0
42,47,Male,5,47.441193286891654,233.95557712868933,Two year,Mailed check,Fiber optic,No,Yes,No,Yes,No,1
43,43,Female,72,63.86342245326354,4681.216230033569,One year,Credit card,Fiber optic,No,No,Yes,No,No,0
44,40,Female,4,63.12194955914235,161.90807689945464,Two year,Credit card,Fiber optic,No,No,No,Yes,Yes,0
45,22,Female,20,80.57769819213141,1433.610071300285,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,Yes,1
46,34,Male,20,50.67770747183387,960.2537412540439,Two year,Electronic check,No,No,Yes,No,No,No,0
47,38,Male,16,23.09012924037873,292.8068069195581,One year,Credit card,Fiber optic,Yes,No,Yes,Yes,Yes,0
48,60,Female,24,20.0,472.12115999197,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,Yes,0
